Typical Values,per 100g (as sold),item name,Per 100g serving,as sold Per 100g,Per 100g,Per portion (125g) (%*),Per 100g As Prepared,Per 1/2 Pack (145g) As Prepared,(as consumed) per 100g,(as consumed) per 180g cooked pasta (approx. 75g dry pasta),per 180g cooked pasta (approx. 75g dry pasta) %RI,your RI*,Per 100g Prepared,Per 100g Unprepared,Per Serving Prepared,%* per portion**,(as consumed) per 180g cooked pasta (approx 75g dry pasta),per 180g cooked pasta (approx 75g dry pasta) %RI,Per 12 Pack As Prepared (183g),% Reference Intake,%RI,Per Pot (265g) As Prepared,per: 100g uncooked,per: 75g uncooked,Per 100g as sold,Per portion as prepared (145g),Per 1/2 Pack As Prepared (183g),as consumed per 100g,as consumed per 1/2 pack (110g),per 1/2 pack (110g) %RI,Per (100g),Per (150g),Per Serving,(as prepared) per 100g,(as prepared) per 1/2 pack (140g),per 1/2 pack (140g) %RI,(as prepared) per pot,Per Pot (315g) As Prepared,(as consumed) Per 100g,(as consumed) Per pot (338g),(as consumed) Per sachet,as prepared per: 100g,as prepared per: Cup,Per portion as prepared (161g),%Reference Intake,per 100g prepared product:,Per Pot (245g) As Prepared,Per 125g Serving,Avg. Quantity per Serving (as made up),Avg. Quantity per 100g (as made up),per 100g,Per 100g uncooked,Per 75g uncooked,Avg. Quantity per 100 g (as made up),per 100g prepared:,Per Pot (305g) As Prepared,Avg Quantity per Serving (as made up),(as consumed) Per pot (258g),(as sold) Per 100g,Avg Quantity per 100 g (as made up),Per portion (110g) (%*),Per pot,(as consumed) per pot,(typical values as microwaved) Per 100g,(typical values as microwaved) Per Pack,Per 100g (As consumed),Per Portion 130g (As consumed),per 100 g prepared product:,(as consumed) Per pot (434g),Per 100g ,Per 56g pack,(as consumed) per sachet,Per Portion,Per Pot (350g) As Prepared,Per Pot (395g) As Prepared,(as consumed without additional ingredients) Per 100g,(as consumed without additional ingredients) Per serving (155g),(as consumed without additional ingredients) Per serving (158g),as consumed per 1/2 pack (125g),per 1/2 pack (125g) %RI,per 1/2 pack (125g),(as consumed) per 1/4 pack (167g when cooked),(boiled) per 100g,(boiled) per 225g portion,per 225g portion %RI,(as consumed) per 205g portion,per 205g portion %RI,Per portion (125g),Per 1/2 Pack as Prepared (183g),per 225g portion,per 180g cooked pasta (approx. 75g dry pasta) RI*,(as consumed) per 80g portion,per 80g portion %RI,Per 100g as prepared**,Per serving**,% RI*,(as consumed) per 1/4 pack (184g when cooked),(as consumed) per 150g cooked pasta (approx. 75g dry pasta),per 100 g
Carbohydrate (g),,Pot Noodle Jerk Chicken  90g,,,,,,,,,,,18 g,56 g,55 g,21%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
of which sugars (g),,Pot Noodle Jerk Chicken  90g,,,,,,,,,,,2.1 g,54 g,6.2 g,7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fibre (g),,Pot Noodle Jerk Chicken  90g,,,,,,,,,,,1 g,<0.5 g,3 g,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protein (g),,Pot Noodle Jerk Chicken  90g,,,,,,,,,,,3.2 g,<0.5 g,9.8 g,20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salt (g),,Pot Noodle Jerk Chicken  90g,,,,,,,,,,,1 g,3.7 g,3.2 g,53%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy kJ/kcal,604 / 143,Merchant Gourmet Puy Lentils 250g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat ,1.7g,Merchant Gourmet Puy Lentils 250g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 of which saturates ,0.3g,Merchant Gourmet Puy Lentils 250g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbohydrates ,18.1g,Merchant Gourmet Puy Lentils 250g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 of which sugars ,0.7g,Merchant Gourmet Puy Lentils 250g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fibre ,6.6g,Merchant Gourmet Puy Lentils 250g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protein ,10.6g,Merchant Gourmet Puy Lentils 250g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salt ,0.03g,Merchant Gourmet Puy Lentils 250g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy (kJ),,Pot Noodle Chow Mein Standard 90g,,,,,,,,,,,596 kJ,1934 kJ,1818 kJ,22%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy (kcal),,Pot Noodle Chow Mein Standard 90g,,,,,,,,,,,141 kcal,459 kcal,430 kcal,22%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat (g),,Pot Noodle Chow Mein Standard 90g,,,,,,,,,,,5.6 g,18.3 g,17 g,24%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
of which saturates (g),,Pot Noodle Chow Mein Standard 90g,,,,,,,,,,,2.8 g,8.9 g,8.5 g,43%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbohydrate (g),,Pot Noodle Chow Mein Standard 90g,,,,,,,,,,,19 g,62.5 g,58 g,22%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
of which sugars (g),,Pot Noodle Chow Mein Standard 90g,,,,,,,,,,,1.2 g,4 g,3.7 g,4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fibre (g),,Pot Noodle Chow Mein Standard 90g,,,,,,,,,,,1.4 g,4.5 g,4.3 g,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protein (g),,Pot Noodle Chow Mein Standard 90g,,,,,,,,,,,3.2 g,10.3 g,9.8 g,20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salt (g),,Pot Noodle Chow Mein Standard 90g,,,,,,,,,,,0.6 g,1.9 g,1.8 g,30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*% of Reference intake of an average adult (8400 kJ / 2000 kcal),,Pot Noodle Chow Mein Standard 90g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 portion = 305 g. ( Pack contains 1 portions ),,Pot Noodle Chow Mein Standard 90g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy ,,Morrison Spicy Vegetable Couscous 110G 110g,,,,,,,,,,8400kJ/2000kcal,,,,,,,,,,,,,,,,,,,,,,611kJ/144kcal,856kJ/202kcal,10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat ,,Morrison Spicy Vegetable Couscous 110G 110g,,,,,,,,,,70g,,,,,,,,,,,,,,,,,,,,,,1.1g,1.5g,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
of which saturates ,,Morrison Spicy Vegetable Couscous 110G 110g,,,,,,,,,,20g,,,,,,,,,,,,,,,,,,,,,,0.3g,0.4g,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbohydrate ,,Morrison Spicy Vegetable Couscous 110G 110g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.8g,37.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
of which sugars ,,Morrison Spicy Vegetable Couscous 110G 110g,,,,,,,,,,90g,,,,,,,,,,,,,,,,,,,,,,1.1g,1.5g,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fibre ,,Morrison Spicy Vegetable Couscous 110G 110g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9g,2.7g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protein ,,Morrison Spicy Vegetable Couscous 110G 110g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9g,8.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salt ,,Morrison Spicy Vegetable Couscous 110G 110g,,,,,,,,,,6g,,,,,,,,,,,,,,,,,,,,,,0.44g,0.62g,10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*Reference intake of an average adult (8400kJ/2000kcal) (RI),,Morrison Spicy Vegetable Couscous 110G 110g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contains 2 portions,,Morrison Spicy Vegetable Couscous 110G 110g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy ,,Morrison Lemon & Coriander Couscous 110G 110g,,,,,,,,,,8400kJ/2000kcal,,,,,,,,,,,,,,,,,,,,,,643kJ/152kcal,900kJ/212kcal,11%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat ,,Morrison Lemon & Coriander Couscous 110G 110g,,,,,,,,,,70g,,,,,,,,,,,,,,,,,,,,,,1g,1.4g,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
of which saturates ,,Morrison Lemon & Coriander Couscous 110G 110g,,,,,,,,,,20g,,,,,,,,,,,,,,,,,,,,,,0.3g,0.4g,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbohydrate ,,Morrison Lemon & Coriander Couscous 110G 110g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.4g,41.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
of which sugars ,,Morrison Lemon & Coriander Couscous 110G 110g,,,,,,,,,,90g,,,,,,,,,,,,,,,,,,,,,,0.6g,0.9g,1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fibre ,,Morrison Lemon & Coriander Couscous 110G 110g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9g,1.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protein ,,Morrison Lemon & Coriander Couscous 110G 110g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8g,8.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salt ,,Morrison Lemon & Coriander Couscous 110G 110g,,,,,,,,,,6g,,,,,,,,,,,,,,,,,,,,,,0.42g,0.59g,10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*Reference intake of an average adult (8400kJ/2000kcal) (RI),,Morrison Lemon & Coriander Couscous 110G 110g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contains 2 portions,,Morrison Lemon & Coriander Couscous 110G 110g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy ,,Mug Shot Noodles Chicken & Sweetcorn 54g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345kJ/81kcal,,876kJ/207kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat ,,Mug Shot Noodles Chicken & Sweetcorn 54g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5g,,1.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
of which saturates ,,Mug Shot Noodles Chicken & Sweetcorn 54g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3g,,0.8g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbohydrate ,,Mug Shot Noodles Chicken & Sweetcorn 54g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.4g,,41.6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
of which sugars ,,Mug Shot Noodles Chicken & Sweetcorn 54g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0g,,2.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fibre ,,Mug Shot Noodles Chicken & Sweetcorn 54g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0g,,2.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protein ,,Mug Shot Noodles Chicken & Sweetcorn 54g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4g,,6.0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salt ,,Mug Shot Noodles Chicken & Sweetcorn 54g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.64g,,1.62g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Once boiling water has been added to this sachet it weighs 254g (approx.),,Mug Shot Noodles Chicken & Sweetcorn 54g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This represents one serving. All values below relate to the product when made up with water (i.e. per 100g is a portion of the 254g serving),,Mug Shot Noodles Chicken & Sweetcorn 54g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy ,,VeeTee Pilau Rice 280g,,,535kJ/,,,,,,,,,,,,,,,,,,,,,,,,,,,,749kJ/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,VeeTee Pilau Rice 280g,,,126kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,176kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat ,,VeeTee Pilau Rice 280g,,,1.6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 of which saturates ,,VeeTee Pilau Rice 280g,,,0.2g,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbohydrate ,,VeeTee Pilau Rice 280g,,,25.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.7g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 of which sugars ,,VeeTee Pilau Rice 280g,,,0.4g,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protein ,,VeeTee Pilau Rice 280g,,,2.9g,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salt ,,VeeTee Pilau Rice 280g,,,0.4g,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Servings per Pack: 2, Serving Size: 140g",,VeeTee Pilau Rice 280g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy (kJ),,Itsu Satay Rice Noodles 64g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310,973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy (kcal),,Itsu Satay Rice Noodles 64g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat (g),,Itsu Satay Rice Noodles 64g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
of which saturates (g),,Itsu Satay Rice Noodles 64g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbohydrates (g),,Itsu Satay Rice Noodles 64g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
of which sugars (g),,Itsu Satay Rice Noodles 64g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fibre (g),,Itsu Satay Rice Noodles 64g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protein (g),,Itsu Satay Rice Noodles 64g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salt (g),,Itsu Satay Rice Noodles 64g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.77,2.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This cup contains 1 serving,,Itsu Satay Rice Noodles 64g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy (kJ),,Pot Noodle BBQ Pulled Pork 90g,,,,,,,,,,,595 kJ,1930 kJ,1815 kJ,22%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy (kcal),,Pot Noodle BBQ Pulled Pork 90g,,,,,,,,,,,140 kcal,455 kcal,427 kcal,22%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat (g),,Pot Noodle BBQ Pulled Pork 90g,,,,,,,,,,,5.4 g,17.6 g,16 g,23%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
of which saturates (g),,Pot Noodle BBQ Pulled Pork 90g,,,,,,,,,,,2.7 g,8.6 g,8.2 g,41%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbohydrate (g),,Pot Noodle BBQ Pulled Pork 90g,,,,,,,,,,,20 g,64.3 g,61 g,23%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
of which sugars (g),,Pot Noodle BBQ Pulled Pork 90g,,,,,,,,,,,2.8 g,8.9 g,8.5 g,9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fibre (g),,Pot Noodle BBQ Pulled Pork 90g,,,,,,,,,,,1.2 g,3.8 g,3.7 g,0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protein (g),,Pot Noodle BBQ Pulled Pork 90g,,,,,,,,,,,2.8 g,9 g,8.5 g,17%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salt (g),,Pot Noodle BBQ Pulled Pork 90g,,,,,,,,,,,0.58 g,1.9 g,1.8 g,30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*% of Reference intake of an average adult (8400 kJ / 2000 kcal),,Pot Noodle BBQ Pulled Pork 90g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 portion = 305 g. ( Pack contains 1 portions ),,Pot Noodle BBQ Pulled Pork 90g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy ,,Mug Shot Pasta Tomato and Basil 64g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375kJ/89kcal,,991kJ/234kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fat ,,Mug Shot Pasta Tomato and Basil 64g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4g,,1.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
of which saturates ,,Mug Shot Pasta Tomato and Basil 64g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1g,,0.4g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbohydrate ,,Mug Shot Pasta Tomato and Basil 64g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.5g,,46.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
of which sugars ,,Mug Shot Pasta Tomato and Basil 64g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1g,,8.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fibre ,,Mug Shot Pasta Tomato and Basil 64g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4g,,3.8g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protein ,,Mug Shot Pasta Tomato and Basil 64g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9g,,7.7g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salt ,,Mug Shot Pasta Tomato and Basil 64g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.56g,,1.48g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
