Typical Values,(oven cooked) per 100g,(oven cooked) per fillet (97g),%RI,your RI*,item name,price,image_url,product_url,(grilled) per 100g,(grilled) per grilled sausage (26g),(as sold) per 100g,(grilled) per grilled sausage (53g),(as consumed) per 100g,(as consumed) per kiev (approx. 113g),(as consumed) per 3 goujons (approx. 76g),(grilled) per rasher (21g),% RI,(grilled) per rasher (25g),per grilled sausage (55g),per 100g,(grilled) per grilled sausage (27g),Per 100g as sold,(grilled) per rasher (22g),(grilled) per grilled sausage (54g),per fillet (80g),(oven cooked) per 100g:,(as consumed) per kiev (approx. 127g),(as consumed) per 1/2 pack (approx. 90g),(as consumed) 10 bites (approx. 70g),per 3 goujons (approx. 73g),(as sold) Per 100g,(as sold) Per 1/4 pack,(as consumed) per 100g:,Per 100g grilled,Per rasher 25g grilled,% intake per 25g,(as consumed) per 1/2 pack (123g),(as consumed) per 1/2 pack (158g),(oven cooked) per 1/2 pack (88g),(as consumed) per 3 goujons (approx. 82g),Per 100g (grilled),Per 2 chipolatas (59g) (grilled),Per 2 sausages (117g) (grilled),per grilled 100g,per grilled sausage (54g),(as consumed) per fillet (approx. 164g),(grilled) per rasher (approx. 18g),Per 100g As Sold,(as consumed) per fishcake (approx. 140g),per fishcake (approx. 140g) %RI,Per 2 chipolatas (58g) (grilled),(as consumed) per fillet (approx. 155g),(grilled) per sausage (49g),(cooked as per instructions) Per 100g,(cooked as per instructions) Per 150g,(as consumed) per 100 g,(as consumed) per 1/2 pack (131g),(boiled) per 100g,(boiled) per 1/2 pack (198g),(as consumed) per fishcake (approx. 136g),per fishcake (approx. 136g),(as sold) per pack,(grilled) per sausage (54g),Per 100g,per 100g as sold:,(grilled) per grilled sausage (55g),(as grilled) per 100g,per 100g:,(as consumed) per 1/2 pack (128g),(as consumed) per drumstick and thigh (excl. bone) (approx.191g),(grilled) per 2 rashers (approx. 21g),(oven cooked) per 1/2 pack (192g),(as sold) per 100g:,(shallow fried) per 100g:,per pack,you RI*,(as consumed) per pudding (27g),(stir fried) per 100g,100g of Grilled Sausage contains,1 Grilled Sausage (46g) contains,(as consumed) per grilled sausage (approx. 42g),per grilled sausage (50g) %RI,Per 100g Grilled,1 Grilled Sausage (23g) contains,(as consumed) per pudding (39g),(grilled) per burger (approx. 83g)
Salt ,,,4%,6g,Morrisons The Best Hampshire Pork Belly Joint With Salt & Pepper Crumb Typically: 0.57kg,£7,"['/productImages/506/506679011_0_640x640.jpg?identifier=a9b3c4c362e79692d1ef4fc88558e216', '/productImages/506/506679011_1_640x640.jpg?identifier=a9b3c4c362e79692d1ef4fc88558e216', '/productImages/506/506679011_2_640x640.jpg?identifier=a9b3c4c362e79692d1ef4fc88558e216']",https://groceries.morrisons.com//products/morrisons-the-best-hampshire-pork-belly-joint-with-salt-pepper-crumb-506679011,,,,,0.26g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*Reference intake of an average adult (8400kJ/2000kcal) (RI),,,,,Morrisons The Best Hampshire Pork Belly Joint With Salt & Pepper Crumb Typically: 0.57kg,£7,"['/productImages/506/506679011_0_640x640.jpg?identifier=a9b3c4c362e79692d1ef4fc88558e216', '/productImages/506/506679011_1_640x640.jpg?identifier=a9b3c4c362e79692d1ef4fc88558e216', '/productImages/506/506679011_2_640x640.jpg?identifier=a9b3c4c362e79692d1ef4fc88558e216']",https://groceries.morrisons.com//products/morrisons-the-best-hampshire-pork-belly-joint-with-salt-pepper-crumb-506679011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Energy ,,,,,Morrisons Whole Seabream  313g,£3,['/productImages/539/539506011_0_640x640.jpg?identifier=6ee4e4ea178e692e6a6272d9df0d0ab8'],https://groceries.morrisons.com//products/morrisons-whole-seabream-539506011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405kJ/96kcal,,,,,,,,,,,,,
Fat ,,,,,Morrisons Whole Seabream  313g,£3,['/productImages/539/539506011_0_640x640.jpg?identifier=6ee4e4ea178e692e6a6272d9df0d0ab8'],https://groceries.morrisons.com//products/morrisons-whole-seabream-539506011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9g,,,,,,,,,,,,,
of which saturates,,,,,Morrisons Whole Seabream  313g,£3,['/productImages/539/539506011_0_640x640.jpg?identifier=6ee4e4ea178e692e6a6272d9df0d0ab8'],https://groceries.morrisons.com//products/morrisons-whole-seabream-539506011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7g,,,,,,,,,,,,,
Carbohydrate ,,,,,Morrisons Whole Seabream  313g,£3,['/productImages/539/539506011_0_640x640.jpg?identifier=6ee4e4ea178e692e6a6272d9df0d0ab8'],https://groceries.morrisons.com//products/morrisons-whole-seabream-539506011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nil,,,,,,,,,,,,,
of which sugars,,,,,Morrisons Whole Seabream  313g,£3,['/productImages/539/539506011_0_640x640.jpg?identifier=6ee4e4ea178e692e6a6272d9df0d0ab8'],https://groceries.morrisons.com//products/morrisons-whole-seabream-539506011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nil,,,,,,,,,,,,,
Fibre ,,,,,Morrisons Whole Seabream  313g,£3,['/productImages/539/539506011_0_640x640.jpg?identifier=6ee4e4ea178e692e6a6272d9df0d0ab8'],https://groceries.morrisons.com//products/morrisons-whole-seabream-539506011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nil,,,,,,,,,,,,,
Protein ,,,,,Morrisons Whole Seabream  313g,£3,['/productImages/539/539506011_0_640x640.jpg?identifier=6ee4e4ea178e692e6a6272d9df0d0ab8'],https://groceries.morrisons.com//products/morrisons-whole-seabream-539506011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.5g,,,,,,,,,,,,,
Salt ,,,,,Morrisons Whole Seabream  313g,£3,['/productImages/539/539506011_0_640x640.jpg?identifier=6ee4e4ea178e692e6a6272d9df0d0ab8'],https://groceries.morrisons.com//products/morrisons-whole-seabream-539506011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.68g,,,,,,,,,,,,,
Energy ,,,,,Morrisons Plaice Fillet  Typically: 260g,£3.19,"['/productImages/539/539503011_0_640x640.jpg?identifier=a638e0768b16bf6af6de69c68c583c1f', '/productImages/539/539503011_1_640x640.jpg?identifier=a638e0768b16bf6af6de69c68c583c1f']",https://groceries.morrisons.com//products/morrisons-plaice-fillet-539503011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,336kJ/79kcal,,,,,,,,,,,,,
Fat ,,,,,Morrisons Plaice Fillet  Typically: 260g,£3.19,"['/productImages/539/539503011_0_640x640.jpg?identifier=a638e0768b16bf6af6de69c68c583c1f', '/productImages/539/539503011_1_640x640.jpg?identifier=a638e0768b16bf6af6de69c68c583c1f']",https://groceries.morrisons.com//products/morrisons-plaice-fillet-539503011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4g,,,,,,,,,,,,,
of which saturates ,,,,,Morrisons Plaice Fillet  Typically: 260g,£3.19,"['/productImages/539/539503011_0_640x640.jpg?identifier=a638e0768b16bf6af6de69c68c583c1f', '/productImages/539/539503011_1_640x640.jpg?identifier=a638e0768b16bf6af6de69c68c583c1f']",https://groceries.morrisons.com//products/morrisons-plaice-fillet-539503011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2g,,,,,,,,,,,,,
Carbohydrate ,,,,,Morrisons Plaice Fillet  Typically: 260g,£3.19,"['/productImages/539/539503011_0_640x640.jpg?identifier=a638e0768b16bf6af6de69c68c583c1f', '/productImages/539/539503011_1_640x640.jpg?identifier=a638e0768b16bf6af6de69c68c583c1f']",https://groceries.morrisons.com//products/morrisons-plaice-fillet-539503011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nil,,,,,,,,,,,,,
of which sugars ,,,,,Morrisons Plaice Fillet  Typically: 260g,£3.19,"['/productImages/539/539503011_0_640x640.jpg?identifier=a638e0768b16bf6af6de69c68c583c1f', '/productImages/539/539503011_1_640x640.jpg?identifier=a638e0768b16bf6af6de69c68c583c1f']",https://groceries.morrisons.com//products/morrisons-plaice-fillet-539503011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nil,,,,,,,,,,,,,
Fibre ,,,,,Morrisons Plaice Fillet  Typically: 260g,£3.19,"['/productImages/539/539503011_0_640x640.jpg?identifier=a638e0768b16bf6af6de69c68c583c1f', '/productImages/539/539503011_1_640x640.jpg?identifier=a638e0768b16bf6af6de69c68c583c1f']",https://groceries.morrisons.com//products/morrisons-plaice-fillet-539503011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nil,,,,,,,,,,,,,
Protein ,,,,,Morrisons Plaice Fillet  Typically: 260g,£3.19,"['/productImages/539/539503011_0_640x640.jpg?identifier=a638e0768b16bf6af6de69c68c583c1f', '/productImages/539/539503011_1_640x640.jpg?identifier=a638e0768b16bf6af6de69c68c583c1f']",https://groceries.morrisons.com//products/morrisons-plaice-fillet-539503011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.7g,,,,,,,,,,,,,
Salt ,,,,,Morrisons Plaice Fillet  Typically: 260g,£3.19,"['/productImages/539/539503011_0_640x640.jpg?identifier=a638e0768b16bf6af6de69c68c583c1f', '/productImages/539/539503011_1_640x640.jpg?identifier=a638e0768b16bf6af6de69c68c583c1f']",https://groceries.morrisons.com//products/morrisons-plaice-fillet-539503011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3g,,,,,,,,,,,,,
Energy ,,,,,Morrisons Mackerel Fillet  Typically: 139g,£1.53,['/productImages/539/539504011_0_640x640.jpg?identifier=c88921a7fec43635d1261687b03642c5'],https://groceries.morrisons.com//products/morrisons-mackerel-fillet-539504011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,914kJ/220kcal,,,,,,,,,,,,,,,,,,
Fat ,,,,,Morrisons Mackerel Fillet  Typically: 139g,£1.53,['/productImages/539/539504011_0_640x640.jpg?identifier=c88921a7fec43635d1261687b03642c5'],https://groceries.morrisons.com//products/morrisons-mackerel-fillet-539504011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.1g,,,,,,,,,,,,,,,,,,
of which saturates ,,,,,Morrisons Mackerel Fillet  Typically: 139g,£1.53,['/productImages/539/539504011_0_640x640.jpg?identifier=c88921a7fec43635d1261687b03642c5'],https://groceries.morrisons.com//products/morrisons-mackerel-fillet-539504011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3g,,,,,,,,,,,,,,,,,,
Carbohydrate ,,,,,Morrisons Mackerel Fillet  Typically: 139g,£1.53,['/productImages/539/539504011_0_640x640.jpg?identifier=c88921a7fec43635d1261687b03642c5'],https://groceries.morrisons.com//products/morrisons-mackerel-fillet-539504011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nil,,,,,,,,,,,,,,,,,,
of which sugars ,,,,,Morrisons Mackerel Fillet  Typically: 139g,£1.53,['/productImages/539/539504011_0_640x640.jpg?identifier=c88921a7fec43635d1261687b03642c5'],https://groceries.morrisons.com//products/morrisons-mackerel-fillet-539504011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nil,,,,,,,,,,,,,,,,,,
Fibre ,,,,,Morrisons Mackerel Fillet  Typically: 139g,£1.53,['/productImages/539/539504011_0_640x640.jpg?identifier=c88921a7fec43635d1261687b03642c5'],https://groceries.morrisons.com//products/morrisons-mackerel-fillet-539504011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nil,,,,,,,,,,,,,,,,,,
Protein ,,,,,Morrisons Mackerel Fillet  Typically: 139g,£1.53,['/productImages/539/539504011_0_640x640.jpg?identifier=c88921a7fec43635d1261687b03642c5'],https://groceries.morrisons.com//products/morrisons-mackerel-fillet-539504011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.7g,,,,,,,,,,,,,,,,,,
Salt ,,,,,Morrisons Mackerel Fillet  Typically: 139g,£1.53,['/productImages/539/539504011_0_640x640.jpg?identifier=c88921a7fec43635d1261687b03642c5'],https://groceries.morrisons.com//products/morrisons-mackerel-fillet-539504011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.58g,,,,,,,,,,,,,,,,,,
Energy ,,,,,Morrisons Monkfish Tail  Typically: 269g,£6.46,['/productImages/539/539502011_0_640x640.jpg?identifier=f263970292a1282b3a5962dc9eabcb8d'],https://groceries.morrisons.com//products/morrisons-monkfish-tail-539502011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282kJ/66kcal,,,,,,,,,,,,,
Fat ,,,,,Morrisons Monkfish Tail  Typically: 269g,£6.46,['/productImages/539/539502011_0_640x640.jpg?identifier=f263970292a1282b3a5962dc9eabcb8d'],https://groceries.morrisons.com//products/morrisons-monkfish-tail-539502011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4g,,,,,,,,,,,,,
of which saturates ,,,,,Morrisons Monkfish Tail  Typically: 269g,£6.46,['/productImages/539/539502011_0_640x640.jpg?identifier=f263970292a1282b3a5962dc9eabcb8d'],https://groceries.morrisons.com//products/morrisons-monkfish-tail-539502011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1g,,,,,,,,,,,,,
Carbohydrate ,,,,,Morrisons Monkfish Tail  Typically: 269g,£6.46,['/productImages/539/539502011_0_640x640.jpg?identifier=f263970292a1282b3a5962dc9eabcb8d'],https://groceries.morrisons.com//products/morrisons-monkfish-tail-539502011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nil,,,,,,,,,,,,,
of which sugars ,,,,,Morrisons Monkfish Tail  Typically: 269g,£6.46,['/productImages/539/539502011_0_640x640.jpg?identifier=f263970292a1282b3a5962dc9eabcb8d'],https://groceries.morrisons.com//products/morrisons-monkfish-tail-539502011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nil,,,,,,,,,,,,,
Fibre ,,,,,Morrisons Monkfish Tail  Typically: 269g,£6.46,['/productImages/539/539502011_0_640x640.jpg?identifier=f263970292a1282b3a5962dc9eabcb8d'],https://groceries.morrisons.com//products/morrisons-monkfish-tail-539502011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nil,,,,,,,,,,,,,
Protein ,,,,,Morrisons Monkfish Tail  Typically: 269g,£6.46,['/productImages/539/539502011_0_640x640.jpg?identifier=f263970292a1282b3a5962dc9eabcb8d'],https://groceries.morrisons.com//products/morrisons-monkfish-tail-539502011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.7g,,,,,,,,,,,,,
Salt ,,,,,Morrisons Monkfish Tail  Typically: 269g,£6.46,['/productImages/539/539502011_0_640x640.jpg?identifier=f263970292a1282b3a5962dc9eabcb8d'],https://groceries.morrisons.com//products/morrisons-monkfish-tail-539502011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05g,,,,,,,,,,,,,
Energy ,,,,,Morrisons Best Hampshire Pork Steak With Chorizo & Red Pepper Butter Typically: 400g,£9.50,"['/productImages/506/506678011_0_640x640.jpg?identifier=3bd2bf57e61481e95861c4b76710a7e2', '/productImages/506/506678011_1_640x640.jpg?identifier=3bd2bf57e61481e95861c4b76710a7e2', '/productImages/506/506678011_2_640x640.jpg?identifier=3bd2bf57e61481e95861c4b76710a7e2']",https://groceries.morrisons.com//products/morrisons-best-hampshire-pork-steak-with-chorizo-red-pepper-butter-506678011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1025kJ/246kcal,,,,,,,,,,,,
Fat ,,,,,Morrisons Best Hampshire Pork Steak With Chorizo & Red Pepper Butter Typically: 400g,£9.50,"['/productImages/506/506678011_0_640x640.jpg?identifier=3bd2bf57e61481e95861c4b76710a7e2', '/productImages/506/506678011_1_640x640.jpg?identifier=3bd2bf57e61481e95861c4b76710a7e2', '/productImages/506/506678011_2_640x640.jpg?identifier=3bd2bf57e61481e95861c4b76710a7e2']",https://groceries.morrisons.com//products/morrisons-best-hampshire-pork-steak-with-chorizo-red-pepper-butter-506678011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.3g,,,,,,,,,,,,
of which saturates ,,,,,Morrisons Best Hampshire Pork Steak With Chorizo & Red Pepper Butter Typically: 400g,£9.50,"['/productImages/506/506678011_0_640x640.jpg?identifier=3bd2bf57e61481e95861c4b76710a7e2', '/productImages/506/506678011_1_640x640.jpg?identifier=3bd2bf57e61481e95861c4b76710a7e2', '/productImages/506/506678011_2_640x640.jpg?identifier=3bd2bf57e61481e95861c4b76710a7e2']",https://groceries.morrisons.com//products/morrisons-best-hampshire-pork-steak-with-chorizo-red-pepper-butter-506678011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6g,,,,,,,,,,,,
Carbohydrate ,,,,,Morrisons Best Hampshire Pork Steak With Chorizo & Red Pepper Butter Typically: 400g,£9.50,"['/productImages/506/506678011_0_640x640.jpg?identifier=3bd2bf57e61481e95861c4b76710a7e2', '/productImages/506/506678011_1_640x640.jpg?identifier=3bd2bf57e61481e95861c4b76710a7e2', '/productImages/506/506678011_2_640x640.jpg?identifier=3bd2bf57e61481e95861c4b76710a7e2']",https://groceries.morrisons.com//products/morrisons-best-hampshire-pork-steak-with-chorizo-red-pepper-butter-506678011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4g,,,,,,,,,,,,
of which sugars ,,,,,Morrisons Best Hampshire Pork Steak With Chorizo & Red Pepper Butter Typically: 400g,£9.50,"['/productImages/506/506678011_0_640x640.jpg?identifier=3bd2bf57e61481e95861c4b76710a7e2', '/productImages/506/506678011_1_640x640.jpg?identifier=3bd2bf57e61481e95861c4b76710a7e2', '/productImages/506/506678011_2_640x640.jpg?identifier=3bd2bf57e61481e95861c4b76710a7e2']",https://groceries.morrisons.com//products/morrisons-best-hampshire-pork-steak-with-chorizo-red-pepper-butter-506678011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4g,,,,,,,,,,,,
Fibre ,,,,,Morrisons Best Hampshire Pork Steak With Chorizo & Red Pepper Butter Typically: 400g,£9.50,"['/productImages/506/506678011_0_640x640.jpg?identifier=3bd2bf57e61481e95861c4b76710a7e2', '/productImages/506/506678011_1_640x640.jpg?identifier=3bd2bf57e61481e95861c4b76710a7e2', '/productImages/506/506678011_2_640x640.jpg?identifier=3bd2bf57e61481e95861c4b76710a7e2']",https://groceries.morrisons.com//products/morrisons-best-hampshire-pork-steak-with-chorizo-red-pepper-butter-506678011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5g,,,,,,,,,,,,
Protein ,,,,,Morrisons Best Hampshire Pork Steak With Chorizo & Red Pepper Butter Typically: 400g,£9.50,"['/productImages/506/506678011_0_640x640.jpg?identifier=3bd2bf57e61481e95861c4b76710a7e2', '/productImages/506/506678011_1_640x640.jpg?identifier=3bd2bf57e61481e95861c4b76710a7e2', '/productImages/506/506678011_2_640x640.jpg?identifier=3bd2bf57e61481e95861c4b76710a7e2']",https://groceries.morrisons.com//products/morrisons-best-hampshire-pork-steak-with-chorizo-red-pepper-butter-506678011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.4g,,,,,,,,,,,,
Salt ,,,,,Morrisons Best Hampshire Pork Steak With Chorizo & Red Pepper Butter Typically: 400g,£9.50,"['/productImages/506/506678011_0_640x640.jpg?identifier=3bd2bf57e61481e95861c4b76710a7e2', '/productImages/506/506678011_1_640x640.jpg?identifier=3bd2bf57e61481e95861c4b76710a7e2', '/productImages/506/506678011_2_640x640.jpg?identifier=3bd2bf57e61481e95861c4b76710a7e2']",https://groceries.morrisons.com//products/morrisons-best-hampshire-pork-steak-with-chorizo-red-pepper-butter-506678011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.31g,,,,,,,,,,,,
Contains 2 portions,,,,,Morrisons Best Hampshire Pork Steak With Chorizo & Red Pepper Butter Typically: 400g,£9.50,"['/productImages/506/506678011_0_640x640.jpg?identifier=3bd2bf57e61481e95861c4b76710a7e2', '/productImages/506/506678011_1_640x640.jpg?identifier=3bd2bf57e61481e95861c4b76710a7e2', '/productImages/506/506678011_2_640x640.jpg?identifier=3bd2bf57e61481e95861c4b76710a7e2']",https://groceries.morrisons.com//products/morrisons-best-hampshire-pork-steak-with-chorizo-red-pepper-butter-506678011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Morrisons Smoked Salmon 60g,£2,['/productImages/292/292945011_0_640x640.jpg?identifier=c79a1711f1f061a7bc76d02cb31a53b5'],https://groceries.morrisons.com//products/morrisons-smoked-salmon-292945011,,,,,,,,,,,,800kJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,8400kJ,Morrisons Smoked Salmon 60g,£2,['/productImages/292/292945011_0_640x640.jpg?identifier=c79a1711f1f061a7bc76d02cb31a53b5'],https://groceries.morrisons.com//products/morrisons-smoked-salmon-292945011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480kJ,,,,,,,,,,,
Energy ,,,6%,2000kcal,Morrisons Smoked Salmon 60g,£2,['/productImages/292/292945011_0_640x640.jpg?identifier=c79a1711f1f061a7bc76d02cb31a53b5'],https://groceries.morrisons.com//products/morrisons-smoked-salmon-292945011,,,,,,,,,,,,192kcal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115kcal,,,,,,,,,,,
Fat ,,,10%,70g,Morrisons Smoked Salmon 60g,£2,['/productImages/292/292945011_0_640x640.jpg?identifier=c79a1711f1f061a7bc76d02cb31a53b5'],https://groceries.morrisons.com//products/morrisons-smoked-salmon-292945011,,,,,,,,,,,,11.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8g,,,,,,,,,,,
 of which saturates ,,,6%,20g,Morrisons Smoked Salmon 60g,£2,['/productImages/292/292945011_0_640x640.jpg?identifier=c79a1711f1f061a7bc76d02cb31a53b5'],https://groceries.morrisons.com//products/morrisons-smoked-salmon-292945011,,,,,,,,,,,,1.9g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1g,,,,,,,,,,,
Carbohydrate ,,,,,Morrisons Smoked Salmon 60g,£2,['/productImages/292/292945011_0_640x640.jpg?identifier=c79a1711f1f061a7bc76d02cb31a53b5'],https://groceries.morrisons.com//products/morrisons-smoked-salmon-292945011,,,,,,,,,,,,0.5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3g,,,,,,,,,,,
 of which sugars ,,,<1%,90g,Morrisons Smoked Salmon 60g,£2,['/productImages/292/292945011_0_640x640.jpg?identifier=c79a1711f1f061a7bc76d02cb31a53b5'],https://groceries.morrisons.com//products/morrisons-smoked-salmon-292945011,,,,,,,,,,,,0.1g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1g,,,,,,,,,,,
Fibre ,,,,,Morrisons Smoked Salmon 60g,£2,['/productImages/292/292945011_0_640x640.jpg?identifier=c79a1711f1f061a7bc76d02cb31a53b5'],https://groceries.morrisons.com//products/morrisons-smoked-salmon-292945011,,,,,,,,,,,,0.3g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2g,,,,,,,,,,,
Protein ,,,,,Morrisons Smoked Salmon 60g,£2,['/productImages/292/292945011_0_640x640.jpg?identifier=c79a1711f1f061a7bc76d02cb31a53b5'],https://groceries.morrisons.com//products/morrisons-smoked-salmon-292945011,,,,,,,,,,,,21.8g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.1g,,,,,,,,,,,
Salt ,,,28%,6g,Morrisons Smoked Salmon 60g,£2,['/productImages/292/292945011_0_640x640.jpg?identifier=c79a1711f1f061a7bc76d02cb31a53b5'],https://groceries.morrisons.com//products/morrisons-smoked-salmon-292945011,,,,,,,,,,,,2.84g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7g,,,,,,,,,,,
Omega 3,,,,,Morrisons Smoked Salmon 60g,£2,['/productImages/292/292945011_0_640x640.jpg?identifier=c79a1711f1f061a7bc76d02cb31a53b5'],https://groceries.morrisons.com//products/morrisons-smoked-salmon-292945011,,,,,,,,,,,,1.6g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
